0	65535	0.441
0	60095	0.6691
0	55107	0.5753
0	50533	0.4996
0	46338	0.5266
0	42492	0.481
0	38965	0.4997
0	35731	0.52
1	65530	0.4981
1	60091	0.6447
1	55103	0.5042
1	50529	0.6081
1	46335	0.7164
1	42489	0.9062
1	38962	0.7408
1	35728	0.6827
2	65525	0.7682
2	60086	0.8552
2	55099	0.9389
2	50526	0.8917
2	46332	0.9507
2	42486	1.039
2	38959	0.8801
2	35725	0.9924
3	65519	0.9503
3	60081	1.116
3	55094	1.396
3	50521	1.197
3	46327	1.563
3	42482	1.33
3	38956	1.685
3	35722	1.971
4	65514	2.157
4	60076	1.776
4	55089	2.01
4	50516	2.203
4	46323	2.707
4	42478	2.781
4	38952	2.529
4	35719	2.905
5	65508	3.561
5	60071	3.936
5	55085	3.798
5	50513	4.202
5	46320	3.874
5	42475	4.922
5	38949	4.83
5	35716	6.506
6	65503	5.976
6	60066	7.414
6	55080	7.007
6	50508	7.319
6	46316	8.895
6	42471	7.052
6	38946	10.8
6	35713	9.969
7	65497	11.69
7	60061	13.45
7	55076	12.68
7	50504	18.12
7	46312	14.63
7	42468	19.15
7	38943	17.42
7	35710	19.63
8	65492	20.39
8	60056	27.04
8	55071	21.61
8	50500	28.64
8	46308	46.53
8	42464	45.2
8	38939	40.57
8	35707	35.84
9	65486	37.44
9	60050	38.01
9	55066	42.44
9	50495	57.13
